"orderNumber","orderDate","requiredDate","shippedDate","status","comments","customerNumber","OrderPriority","Year","Month","ShipMode"
"377390944","2011-02-07","0000-00-00",NULL,,NULL,"0","C","2011.0","2.0",NULL
"377401673","2012-06-24","0000-00-00",NULL,,NULL,"0","M","2012.0","6.0",NULL
"377402961","2011-06-08","0000-00-00",NULL,,NULL,"0","C","2011.0","6.0",NULL
"377409398","2013-10-10","0000-00-00",NULL,,NULL,"0","C","2013.0","10.0",NULL
"377414548","2017-02-28","0000-00-00",NULL,,NULL,"0","M","2017.0","2.0",NULL
"377425277","2010-12-19","0000-00-00",NULL,,NULL,"0","C","2010.0","12.0",NULL
"377440297","2011-05-19","0000-00-00",NULL,,NULL,"0","H","2011.0","5.0",NULL
"377442443","2014-09-07","0000-00-00",NULL,,NULL,"0","M","2014.0","9.0",NULL
"377454888","2017-03-10","0000-00-00",NULL,,NULL,"0","M","2017.0","3.0",NULL
"377478921","2010-04-11","0000-00-00",NULL,,NULL,"0","C","2010.0","4.0",NULL
"377492654","2011-09-26","0000-00-00",NULL,,NULL,"0","L","2011.0","9.0",NULL
"377525269","2010-06-20","0000-00-00",NULL,,NULL,"0","H","2010.0","6.0",NULL
"377532565","2017-02-27","0000-00-00",NULL,,NULL,"0","C","2017.0","2.0",NULL
"377566897","2017-01-08","0000-00-00",NULL,,NULL,"0","H","2017.0","1.0",NULL
"377569472","2014-12-05","0000-00-00",NULL,,NULL,"0","H","2014.0","12.0",NULL
"377579343","2011-12-15","0000-00-00",NULL,,NULL,"0","H","2011.0","12.0",NULL
"377594363","2012-05-14","0000-00-00",NULL,,NULL,"0","M","2012.0","5.0",NULL
"377601659","2011-06-27","0000-00-00",NULL,,NULL,"0","C","2011.0","6.0",NULL
"377620112","2014-02-27","0000-00-00",NULL,,NULL,"0","H","2014.0","2.0",NULL
"377623975","2011-01-07","0000-00-00",NULL,,NULL,"0","C","2011.0","1.0",NULL
"377628695","2012-03-24","0000-00-00",NULL,,NULL,"0","M","2012.0","3.0",NULL
"377632558","2016-08-30","0000-00-00",NULL,,NULL,"0","H","2016.0","8.0",NULL
"377639424","2013-08-09","0000-00-00",NULL,,NULL,"0","H","2013.0","8.0",NULL
"377645432","2013-10-09","0000-00-00",NULL,,NULL,"0","H","2013.0","10.0",NULL
"377648437","2013-11-08","0000-00-00",NULL,,NULL,"0","H","2013.0","11.0",NULL
"377665174","2015-05-25","0000-00-00",NULL,,NULL,"0","C","2015.0","5.0",NULL
"377672040","2012-05-04","0000-00-00",NULL,,NULL,"0","L","2012.0","5.0",NULL
"377677619","2010-04-30","0000-00-00",NULL,,NULL,"0","C","2010.0","4.0",NULL
"377684915","2017-01-07","0000-00-00",NULL,,NULL,"0","L","2017.0","1.0",NULL
"377686631","2010-07-30","0000-00-00",NULL,,NULL,"0","H","2010.0","7.0",NULL
"377693927","2017-04-08","0000-00-00",NULL,,NULL,"0","C","2017.0","4.0",NULL
"377725255","2017-01-17","0000-00-00",NULL,,NULL,"0","C","2017.0","1.0",NULL
"377753579","2016-09-28","0000-00-00",NULL,,NULL,"0","C","2016.0","9.0",NULL
"377764308","2010-07-19","0000-00-00",NULL,,NULL,"0","M","2010.0","7.0",NULL
"377766025","2011-09-05","0000-00-00",NULL,,NULL,"0","C","2011.0","9.0",NULL
"377784907","2016-07-10","0000-00-00",NULL,,NULL,"0","C","2016.0","7.0",NULL
"377792632","2010-03-31","0000-00-00",NULL,,NULL,"0","M","2010.0","3.0",NULL
"377804648","2010-07-29","0000-00-00",NULL,,NULL,"0","L","2010.0","7.0",NULL
"377809369","2011-10-15","0000-00-00",NULL,,NULL,"0","H","2011.0","10.0",NULL
"377810657","2010-09-27","0000-00-00",NULL,,NULL,"0","C","2010.0","9.0",NULL
"377816236","2016-04-20","0000-00-00",NULL,,NULL,"0","H","2016.0","4.0",NULL
"377823960","2010-01-09","0000-00-00",NULL,,NULL,"0","L","2010.0","1.0",NULL
"377857434","2013-02-08","0000-00-00",NULL,,NULL,"0","C","2013.0","2.0",NULL
"377874600","2016-10-28","0000-00-00",NULL,,NULL,"0","L","2016.0","10.0",NULL
"377879321","2010-06-19","0000-00-00",NULL,,NULL,"0","H","2010.0","6.0",NULL
"377931678","2010-10-27","0000-00-00",NULL,,NULL,"0","M","2010.0","10.0",NULL
"377935969","2017-06-06","0000-00-00",NULL,,NULL,"0","H","2017.0","6.0",NULL
"377966010","2010-09-07","0000-00-00",NULL,,NULL,"0","L","2010.0","9.0",NULL
"377977597","2016-05-30","0000-00-00",NULL,,NULL,"0","C","2016.0","5.0",NULL
"378013217","2015-03-24","0000-00-00",NULL,,NULL,"0","L","2015.0","3.0",NULL
"378039824","2013-10-17","0000-00-00",NULL,,NULL,"0","H","2013.0","10.0",NULL
"378052699","2010-11-26","0000-00-00",NULL,,NULL,"0","H","2010.0","11.0",NULL
"378069865","2014-08-14","0000-00-00",NULL,,NULL,"0","L","2014.0","8.0",NULL
"378167283","2016-03-19","0000-00-00",NULL,,NULL,"0","C","2016.0","3.0",NULL
"378199899","2014-12-12","0000-00-00",NULL,,NULL,"0","M","2014.0","12.0",NULL
"378205907","2015-02-11","0000-00-00",NULL,,NULL,"0","L","2015.0","2.0",NULL
"378221786","2012-04-21","0000-00-00",NULL,,NULL,"0","L","2012.0","4.0",NULL
"378239810","2012-10-19","0000-00-00",NULL,,NULL,"0","C","2012.0","10.0",NULL
"378243243","2015-01-22","0000-00-00",NULL,,NULL,"0","L","2015.0","1.0",NULL
"378322637","2016-02-27","0000-00-00",NULL,,NULL,"0","L","2016.0","2.0",NULL
"378362119","2011-11-01","0000-00-00",NULL,,NULL,"0","H","2011.0","11.0",NULL
"378365123","2011-12-01","0000-00-00",NULL,,NULL,"0","H","2011.0","12.0",NULL
"378390014","2016-12-05","0000-00-00",NULL,,NULL,"0","H","2016.0","12.0",NULL
"378417479","2012-04-10","0000-00-00",NULL,,NULL,"0","L","2012.0","4.0",NULL
"378429496","2012-08-08","0000-00-00",NULL,,NULL,"0","L","2012.0","8.0",NULL
"378459537","2013-06-06","0000-00-00",NULL,,NULL,"0","H","2013.0","6.0",NULL
"378478419","2010-09-14","0000-00-00",NULL,,NULL,"0","H","2010.0","9.0",NULL
"378488719","2017-06-23","0000-00-00",NULL,,NULL,"0","C","2017.0","6.0",NULL
"378494727","2010-01-26","0000-00-00",NULL,,NULL,"0","H","2010.0","1.0",NULL
"378520905","2014-01-13","0000-00-00",NULL,,NULL,"0","C","2014.0","1.0",NULL
"378525626","2015-04-01","0000-00-00",NULL,,NULL,"0","M","2015.0","4.0",NULL
"378615748","2010-02-24","0000-00-00",NULL,,NULL,"0","L","2010.0","2.0",NULL
"378668105","2010-07-05","0000-00-00",NULL,,NULL,"0","H","2010.0","7.0",NULL
"378675830","2011-10-21","0000-00-00",NULL,,NULL,"0","L","2011.0","10.0",NULL
"378679263","2014-01-22","0000-00-00",NULL,,NULL,"0","L","2014.0","1.0",NULL
"378680980","2015-03-11","0000-00-00",NULL,,NULL,"0","H","2015.0","3.0",NULL
"378701150","2011-06-02","0000-00-00",NULL,,NULL,"0","L","2011.0","6.0",NULL
"378710162","2011-08-31","0000-00-00",NULL,,NULL,"0","C","2011.0","8.0",NULL
"378744065","2016-12-03","0000-00-00",NULL,,NULL,"0","H","2016.0","12.0",NULL
"378744924","2013-09-13","0000-00-00",NULL,,NULL,"0","C","2013.0","9.0",NULL
"378774535","2012-05-08","0000-00-00",NULL,,NULL,"0","M","2012.0","5.0",NULL
"378791701","2016-01-26","0000-00-00",NULL,,NULL,"0","C","2016.0","1.0",NULL
"378807580","2013-04-05","0000-00-00",NULL,,NULL,"0","C","2013.0","4.0",NULL
"378815734","2016-09-23","0000-00-00",NULL,,NULL,"0","M","2016.0","9.0",NULL
"378837192","2011-11-29","0000-00-00",NULL,,NULL,"0","L","2011.0","11.0",NULL
"378848779","2010-01-24","0000-00-00",NULL,,NULL,"0","C","2010.0","1.0",NULL
"378856074","2016-10-03","0000-00-00",NULL,,NULL,"0","L","2016.0","10.0",NULL
"378870666","2014-12-29","0000-00-00",NULL,,NULL,"0","C","2014.0","12.0",NULL
"378877103","2017-05-02","0000-00-00",NULL,,NULL,"0","C","2017.0","5.0",NULL
"378879249","2013-01-24","0000-00-00",NULL,,NULL,"0","H","2013.0","1.0",NULL
"378891694","2015-07-28","0000-00-00",NULL,,NULL,"0","M","2015.0","7.0",NULL
"378909718","2016-01-25","0000-00-00",NULL,,NULL,"0","L","2016.0","1.0",NULL
"378936755","2016-10-23","0000-00-00",NULL,,NULL,"0","H","2016.0","10.0",NULL
"378937613","2013-08-03","0000-00-00",NULL,,NULL,"0","C","2013.0","8.0",NULL
"378944909","2012-09-15","0000-00-00",NULL,,NULL,"0","M","2012.0","9.0",NULL
"378957355","2015-03-19","0000-00-00",NULL,,NULL,"0","L","2015.0","3.0",NULL
"378988254","2012-10-25","0000-00-00",NULL,,NULL,"0","L","2012.0","10.0",NULL
"379115712","2015-03-29","0000-00-00",NULL,,NULL,"0","M","2015.0","3.0",NULL
"379185664","2013-12-01","0000-00-00",NULL,,NULL,"0","H","2013.0","12.0",NULL
"379186522","2010-09-11","0000-00-00",NULL,,NULL,"0","C","2010.0","9.0",NULL
"379198968","2013-03-14","0000-00-00",NULL,,NULL,"0","C","2013.0","3.0",NULL
"379199397","2015-05-18","0000-00-00",NULL,,NULL,"0","C","2015.0","5.0",NULL
"379243600","2012-04-06","0000-00-00",NULL,,NULL,"0","C","2012.0","4.0",NULL
"379250895","2011-05-20","0000-00-00",NULL,,NULL,"0","L","2011.0","5.0",NULL
"379261624","2012-10-04","0000-00-00",NULL,,NULL,"0","H","2012.0","10.0",NULL
"379273211","2010-11-30","0000-00-00",NULL,,NULL,"0","M","2010.0","11.0",NULL
"379281795","2016-07-23","0000-00-00",NULL,,NULL,"0","L","2016.0","7.0",NULL
"379304969","2012-11-13","0000-00-00",NULL,,NULL,"0","M","2012.0","11.0",NULL
"379321277","2012-03-26","0000-00-00",NULL,,NULL,"0","H","2012.0","3.0",NULL
"379364621","2012-05-05","0000-00-00",NULL,,NULL,"0","M","2012.0","5.0",NULL
"379375350","2013-09-20","0000-00-00",NULL,,NULL,"0","H","2013.0","9.0",NULL
"379381787","2016-01-23","0000-00-00",NULL,,NULL,"0","H","2016.0","1.0",NULL
"379407966","2012-06-14","0000-00-00",NULL,,NULL,"0","L","2012.0","6.0",NULL
"379422986","2012-11-12","0000-00-00",NULL,,NULL,"0","C","2012.0","11.0",NULL
"379485213","2010-04-01","0000-00-00",NULL,,NULL,"0","M","2010.0","4.0",NULL
"379499375","2013-11-19","0000-00-00",NULL,,NULL,"0","C","2013.0","11.0",NULL
"379510533","2017-06-08","0000-00-00",NULL,,NULL,"0","H","2017.0","6.0",NULL
"379515254","2011-01-28","0000-00-00",NULL,,NULL,"0","C","2011.0","1.0",NULL
"379516971","2012-03-15","0000-00-00",NULL,,NULL,"0","H","2012.0","3.0",NULL
"379559457","2015-07-15","0000-00-00",NULL,,NULL,"0","L","2015.0","7.0",NULL
"379567611","2011-06-07","0000-00-00",NULL,,NULL,"0","H","2011.0","6.0",NULL
"379574048","2013-10-09","0000-00-00",NULL,,NULL,"0","H","2013.0","10.0",NULL
"379587352","2013-01-21","0000-00-00",NULL,,NULL,"0","C","2013.0","1.0",NULL
"379615247","2010-07-30","0000-00-00",NULL,,NULL,"0","H","2010.0","7.0",NULL
"379632842","2016-06-21","0000-00-00",NULL,,NULL,"0","L","2016.0","6.0",NULL
"379644858","2016-10-19","0000-00-00",NULL,,NULL,"0","L","2016.0","10.0",NULL
"379651725","2013-09-29","0000-00-00",NULL,,NULL,"0","L","2013.0","9.0",NULL
"379658591","2010-09-08","0000-00-00",NULL,,NULL,"0","M","2010.0","9.0",NULL
"379659879","2017-03-19","0000-00-00",NULL,,NULL,"0","C","2017.0","3.0",NULL
"379715240","2010-01-30","0000-00-00",NULL,,NULL,"0","M","2010.0","1.0",NULL
"379732406","2013-10-19","0000-00-00",NULL,,NULL,"0","C","2013.0","10.0",NULL
"379786479","2015-04-15","0000-00-00",NULL,,NULL,"0","C","2015.0","4.0",NULL
"379824674","2012-01-03","0000-00-00",NULL,,NULL,"0","L","2012.0","1.0",NULL
"379844844","2015-10-22","0000-00-00",NULL,,NULL,"0","M","2015.0","10.0",NULL
"379849994","2011-08-16","0000-00-00",NULL,,NULL,"0","L","2011.0","8.0",NULL
"379909646","2011-02-05","0000-00-00",NULL,,NULL,"0","C","2011.0","2.0",NULL
"379916512","2015-08-13","0000-00-00",NULL,,NULL,"0","L","2015.0","8.0",NULL
"379933249","2017-02-26","0000-00-00",NULL,,NULL,"0","M","2017.0","2.0",NULL
"379946982","2011-01-16","0000-00-00",NULL,,NULL,"0","C","2011.0","1.0",NULL
"379972732","2012-10-30","0000-00-00",NULL,,NULL,"0","C","2012.0","10.0",NULL
"379974877","2016-02-19","0000-00-00",NULL,,NULL,"0","H","2016.0","2.0",NULL
"379981744","2013-01-29","0000-00-00",NULL,,NULL,"0","C","2013.0","1.0",NULL
"379997193","2015-09-01","0000-00-00",NULL,,NULL,"0","H","2015.0","9.0",NULL
"380004060","2012-08-11","0000-00-00",NULL,,NULL,"0","C","2012.0","8.0",NULL
"380043971","2010-06-18","0000-00-00",NULL,,NULL,"0","M","2010.0","6.0",NULL
"380054271","2017-03-27","0000-00-00",NULL,,NULL,"0","C","2017.0","3.0",NULL
"380081307","2010-05-29","0000-00-00",NULL,,NULL,"0","M","2010.0","5.0",NULL
"380088603","2017-02-05","0000-00-00",NULL,,NULL,"0","H","2017.0","2.0",NULL
"380098044","2011-12-13","0000-00-00",NULL,,NULL,"0","H","2011.0","12.0",NULL
"380098903","2016-04-19","0000-00-00",NULL,,NULL,"0","C","2016.0","4.0",NULL
"380100619","2017-06-06","0000-00-00",NULL,,NULL,"0","M","2017.0","6.0",NULL
"380174434","2012-12-19","0000-00-00",NULL,,NULL,"0","C","2012.0","12.0",NULL
"380198466","2013-08-17","0000-00-00",NULL,,NULL,"0","M","2013.0","8.0",NULL
"380218636","2017-06-05","0000-00-00",NULL,,NULL,"0","C","2017.0","6.0",NULL
"380224645","2010-01-07","0000-00-00",NULL,,NULL,"0","H","2010.0","1.0",NULL
"380234086","2012-06-10","0000-00-00",NULL,,NULL,"0","H","2012.0","6.0",NULL
"380234944","2016-10-17","0000-00-00",NULL,,NULL,"0","L","2016.0","10.0",NULL
"380240952","2016-12-16","0000-00-00",NULL,,NULL,"0","C","2016.0","12.0",NULL
"380275285","2016-10-26","0000-00-00",NULL,,NULL,"0","C","2016.0","10.0",NULL
"380277860","2014-09-23","0000-00-00",NULL,,NULL,"0","H","2014.0","9.0",NULL
"380334079","2011-12-12","0000-00-00",NULL,,NULL,"0","M","2011.0","12.0",NULL
"380352532","2014-08-13","0000-00-00",NULL,,NULL,"0","M","2014.0","8.0",NULL
"380369699","2010-10-05","0000-00-00",NULL,,NULL,"0","H","2010.0","10.0",NULL
"380378711","2011-01-04","0000-00-00",NULL,,NULL,"0","H","2011.0","1.0",NULL
"380429780","2012-05-30","0000-00-00",NULL,,NULL,"0","H","2012.0","5.0",NULL
"380436217","2014-10-02","0000-00-00",NULL,,NULL,"0","C","2014.0","10.0",NULL
"380476987","2016-12-15","0000-00-00",NULL,,NULL,"0","H","2016.0","12.0",NULL
"380477416","2011-07-23","0000-00-00",NULL,,NULL,"0","C","2011.0","7.0",NULL
"380486857","2013-12-24","0000-00-00",NULL,,NULL,"0","C","2013.0","12.0",NULL
"380504024","2010-02-15","0000-00-00",NULL,,NULL,"0","L","2010.0","2.0",NULL
"380510032","2010-04-17","0000-00-00",NULL,,NULL,"0","L","2010.0","4.0",NULL
"380513465","2012-07-19","0000-00-00",NULL,,NULL,"0","L","2012.0","7.0",NULL
"380554234","2014-10-02","0000-00-00",NULL,,NULL,"0","L","2014.0","10.0",NULL
"380567967","2016-03-18","0000-00-00",NULL,,NULL,"0","H","2016.0","3.0",NULL
"380619895","2014-05-24","0000-00-00",NULL,,NULL,"0","C","2014.0","5.0",NULL
"380631053","2010-05-16","0000-00-00",NULL,,NULL,"0","M","2010.0","5.0",NULL
"380650365","2017-05-24","0000-00-00",NULL,,NULL,"0","H","2017.0","5.0",NULL
"380671823","2012-07-29","0000-00-00",NULL,,NULL,"0","M","2012.0","7.0",NULL
"380692422","2010-12-23","0000-00-00",NULL,,NULL,"0","C","2010.0","12.0",NULL
"380719888","2013-11-23","0000-00-00",NULL,,NULL,"0","H","2013.0","11.0",NULL
"380729758","2010-12-03","0000-00-00",NULL,,NULL,"0","C","2010.0","12.0",NULL
"380771815","2012-01-29","0000-00-00",NULL,,NULL,"0","L","2012.0","1.0",NULL
"380805289","2015-02-28","0000-00-00",NULL,,NULL,"0","H","2015.0","2.0",NULL
"380824172","2012-06-08","0000-00-00",NULL,,NULL,"0","H","2012.0","6.0",NULL
"380839622","2015-01-09","0000-00-00",NULL,,NULL,"0","H","2015.0","1.0",NULL
"380849492","2012-01-19","0000-00-00",NULL,,NULL,"0","H","2012.0","1.0",NULL
"380874812","2011-08-31","0000-00-00",NULL,,NULL,"0","H","2011.0","8.0",NULL
"380878245","2013-12-02","0000-00-00",NULL,,NULL,"0","C","2013.0","12.0",NULL
"380918157","2011-10-10","0000-00-00",NULL,,NULL,"0","M","2011.0","10.0",NULL
"380919444","2010-09-22","0000-00-00",NULL,,NULL,"0","C","2010.0","9.0",NULL
"380930173","2012-02-07","0000-00-00",NULL,,NULL,"0","M","2012.0","2.0",NULL
"380949485","2011-07-21","0000-00-00",NULL,,NULL,"0","M","2011.0","7.0",NULL
"380958497","2011-10-20","0000-00-00",NULL,,NULL,"0","L","2011.0","10.0",NULL
"380972659","2015-06-08","0000-00-00",NULL,,NULL,"0","H","2015.0","6.0",NULL
"380978667","2015-08-07","0000-00-00",NULL,,NULL,"0","H","2015.0","8.0",NULL
"381016862","2012-04-27","0000-00-00",NULL,,NULL,"0","H","2012.0","4.0",NULL
"381027162","2011-07-11","0000-00-00",NULL,,NULL,"0","C","2011.0","7.0",NULL
"381052911","2013-04-24","0000-00-00",NULL,,NULL,"0","L","2013.0","4.0",NULL
"381059348","2015-08-27","0000-00-00",NULL,,NULL,"0","L","2015.0","8.0",NULL
"381061923","2013-07-24","0000-00-00",NULL,,NULL,"0","C","2013.0","7.0",NULL
"381063640","2014-09-09","0000-00-00",NULL,,NULL,"0","H","2014.0","9.0",NULL
"381094968","2014-06-21","0000-00-00",NULL,,NULL,"0","M","2014.0","6.0",NULL
"381101834","2011-05-31","0000-00-00",NULL,,NULL,"0","H","2011.0","5.0",NULL
"381122004","2015-03-19","0000-00-00",NULL,,NULL,"0","L","2015.0","3.0",NULL
"381130588","2013-04-14","0000-00-00",NULL,,NULL,"0","H","2013.0","4.0",NULL
"381133592","2013-05-14","0000-00-00",NULL,,NULL,"0","H","2013.0","5.0",NULL
"381139600","2013-07-13","0000-00-00",NULL,,NULL,"0","H","2013.0","7.0",NULL
"381150329","2014-11-28","0000-00-00",NULL,,NULL,"0","L","2014.0","11.0",NULL
"381171357","2015-06-27","0000-00-00",NULL,,NULL,"0","H","2015.0","6.0",NULL
"381180369","2015-09-26","0000-00-00",NULL,,NULL,"0","H","2015.0","9.0",NULL
"381191956","2013-11-21","0000-00-00",NULL,,NULL,"0","L","2013.0","11.0",NULL
"381209981","2014-05-21","0000-00-00",NULL,,NULL,"0","C","2014.0","5.0",NULL
"381219851","2011-05-30","0000-00-00",NULL,,NULL,"0","L","2011.0","5.0",NULL
"381237018","2015-02-16","0000-00-00",NULL,,NULL,"0","M","2015.0","2.0",NULL
"381250751","2016-08-02","0000-00-00",NULL,,NULL,"0","C","2016.0","8.0",NULL
"381327569","2012-03-17","0000-00-00",NULL,,NULL,"0","L","2012.0","3.0",NULL
"381331431","2016-08-22","0000-00-00",NULL,,NULL,"0","M","2016.0","8.0",NULL
"381352031","2015-01-17","0000-00-00",NULL,,NULL,"0","C","2015.0","1.0",NULL
"381373059","2015-08-16","0000-00-00",NULL,,NULL,"0","H","2015.0","8.0",NULL
"381390225","2011-10-07","0000-00-00",NULL,,NULL,"0","L","2011.0","10.0",NULL
"381408250","2012-04-05","0000-00-00",NULL,,NULL,"0","H","2012.0","4.0",NULL
"381422841","2010-07-02","0000-00-00",NULL,,NULL,"0","M","2010.0","7.0",NULL
"381430137","2017-03-11","0000-00-00",NULL,,NULL,"0","H","2017.0","3.0",NULL
"381443011","2014-04-20","0000-00-00",NULL,,NULL,"0","H","2014.0","4.0",NULL
"381457173","2010-05-12","0000-00-00",NULL,,NULL,"0","L","2010.0","5.0",NULL
"381472194","2010-10-10","0000-00-00",NULL,,NULL,"0","C","2010.0","10.0",NULL
"381482064","2015-05-17","0000-00-00",NULL,,NULL,"0","L","2015.0","5.0",NULL
"381493222","2011-05-09","0000-00-00",NULL,,NULL,"0","H","2011.0","5.0",NULL
"381496226","2011-06-08","0000-00-00",NULL,,NULL,"0","H","2011.0","6.0",NULL
"381505239","2011-09-07","0000-00-00",NULL,,NULL,"0","M","2011.0","9.0",NULL
"381511676","2014-01-09","0000-00-00",NULL,,NULL,"0","M","2014.0","1.0",NULL
"381518971","2013-02-21","0000-00-00",NULL,,NULL,"0","C","2013.0","2.0",NULL
"381531417","2015-08-25","0000-00-00",NULL,,NULL,"0","H","2015.0","8.0",NULL
"381543862","2010-07-31","0000-00-00",NULL,,NULL,"0","H","2010.0","7.0",NULL
"381570899","2011-04-29","0000-00-00",NULL,,NULL,"0","L","2011.0","4.0",NULL
"381587207","2010-09-09","0000-00-00",NULL,,NULL,"0","M","2010.0","9.0",NULL
"381588065","2015-01-15","0000-00-00",NULL,,NULL,"0","H","2015.0","1.0",NULL
"381593215","2010-11-09","0000-00-00",NULL,,NULL,"0","M","2010.0","11.0",NULL
"381626260","2011-10-06","0000-00-00",NULL,,NULL,"0","C","2011.0","10.0",NULL
"381633555","2010-11-18","0000-00-00",NULL,,NULL,"0","L","2010.0","11.0",NULL
"381635701","2014-03-09","0000-00-00",NULL,,NULL,"0","C","2014.0","3.0",NULL
"381672179","2017-05-09","0000-00-00",NULL,,NULL,"0","M","2017.0","5.0",NULL
"381677329","2013-03-02","0000-00-00",NULL,,NULL,"0","C","2013.0","3.0",NULL
"381729686","2013-07-10","0000-00-00",NULL,,NULL,"0","H","2013.0","7.0",NULL
"381758010","2013-03-22","0000-00-00",NULL,,NULL,"0","H","2013.0","3.0",NULL
"381762301","2012-04-04","0000-00-00",NULL,,NULL,"0","C","2012.0","4.0",NULL
"381788909","2010-10-29","0000-00-00",NULL,,NULL,"0","M","2010.0","10.0",NULL
"381806504","2016-09-19","0000-00-00",NULL,,NULL,"0","C","2016.0","9.0",NULL
"381811654","2012-07-13","0000-00-00",NULL,,NULL,"0","H","2012.0","7.0",NULL
"381848561","2010-04-20","0000-00-00",NULL,,NULL,"0","L","2010.0","4.0",NULL
"381863152","2016-02-10","0000-00-00",NULL,,NULL,"0","C","2016.0","2.0",NULL
"381864869","2017-03-29","0000-00-00",NULL,,NULL,"0","M","2017.0","3.0",NULL
"381885039","2013-06-20","0000-00-00",NULL,,NULL,"0","C","2013.0","6.0",NULL
"381937396","2013-10-28","0000-00-00",NULL,,NULL,"0","M","2013.0","10.0",NULL
"381953704","2013-03-11","0000-00-00",NULL,,NULL,"0","H","2013.0","3.0",NULL
"381998336","2012-04-03","0000-00-00",NULL,,NULL,"0","H","2012.0","4.0",NULL
"382012927","2010-06-29","0000-00-00",NULL,,NULL,"0","M","2010.0","6.0",NULL
"382014214","2017-01-07","0000-00-00",NULL,,NULL,"0","H","2017.0","1.0",NULL
"382019364","2012-10-31","0000-00-00",NULL,,NULL,"0","M","2012.0","10.0",NULL
"382034814","2015-06-03","0000-00-00",NULL,,NULL,"0","L","2015.0","6.0",NULL
"382039535","2016-08-19","0000-00-00",NULL,,NULL,"0","H","2016.0","8.0",NULL
"382094466","2014-11-24","0000-00-00",NULL,,NULL,"0","L","2014.0","11.0",NULL
"382135665","2011-09-14","0000-00-00",NULL,,NULL,"0","L","2011.0","9.0",NULL
"382141244","2017-04-06","0000-00-00",NULL,,NULL,"0","C","2017.0","4.0",NULL
"382159698","2012-05-12","0000-00-00",NULL,,NULL,"0","C","2012.0","5.0",NULL
"382175576","2017-02-15","0000-00-00",NULL,,NULL,"0","C","2017.0","2.0",NULL
"382222783","2014-02-04","0000-00-00",NULL,,NULL,"0","C","2014.0","2.0",NULL
"382227504","2015-04-23","0000-00-00",NULL,,NULL,"0","M","2015.0","4.0",NULL
"382265269","2017-06-05","0000-00-00",NULL,,NULL,"0","L","2017.0","6.0",NULL
"382279002","2011-04-25","0000-00-00",NULL,,NULL,"0","H","2011.0","4.0",NULL
"382281148","2014-08-14","0000-00-00",NULL,,NULL,"0","M","2014.0","8.0",NULL
"382309472","2014-04-25","0000-00-00",NULL,,NULL,"0","L","2014.0","4.0",NULL
"382313334","2011-03-06","0000-00-00",NULL,,NULL,"0","M","2011.0","3.0",NULL
"382316339","2011-04-05","0000-00-00",NULL,,NULL,"0","M","2011.0","4.0",NULL
"382317626","2010-03-19","0000-00-00",NULL,,NULL,"0","C","2010.0","3.0",NULL
"382348954","2017-07-25","0000-00-00",NULL,,NULL,"0","H","2017.0","7.0",NULL
"382368266","2017-01-05","0000-00-00",NULL,,NULL,"0","C","2017.0","1.0",NULL
"382397449","2013-06-27","0000-00-00",NULL,,NULL,"0","L","2013.0","6.0",NULL
"382409036","2011-08-23","0000-00-00",NULL,,NULL,"0","C","2011.0","8.0",NULL
"382410752","2012-10-09","0000-00-00",NULL,,NULL,"0","M","2012.0","10.0",NULL
"382420623","2017-05-15","0000-00-00",NULL,,NULL,"0","M","2017.0","5.0",NULL
"382493150","2013-12-15","0000-00-00",NULL,,NULL,"0","M","2013.0","12.0",NULL
"382497012","2010-10-25","0000-00-00",NULL,,NULL,"0","H","2010.0","10.0",NULL
"382508599","2016-07-17","0000-00-00",NULL,,NULL,"0","M","2016.0","7.0",NULL
"382530915","2016-01-28","0000-00-00",NULL,,NULL,"0","M","2016.0","1.0",NULL
"382549369","2011-03-05","0000-00-00",NULL,,NULL,"0","L","2011.0","3.0",NULL
"382562673","2010-06-16","0000-00-00",NULL,,NULL,"0","M","2010.0","6.0",NULL
"382566106","2012-09-18","0000-00-00",NULL,,NULL,"0","H","2012.0","9.0",NULL
"382662665","2017-07-13","0000-00-00",NULL,,NULL,"0","L","2017.0","7.0",NULL
"382678544","2014-09-21","0000-00-00",NULL,,NULL,"0","L","2014.0","9.0",NULL
"382683265","2015-12-08","0000-00-00",NULL,,NULL,"0","H","2015.0","12.0",NULL
"382688844","2013-12-04","0000-00-00",NULL,,NULL,"0","M","2013.0","12.0",NULL
"382689702","2010-09-14","0000-00-00",NULL,,NULL,"0","H","2010.0","9.0",NULL
"382696139","2013-01-16","0000-00-00",NULL,,NULL,"0","H","2013.0","1.0",NULL
"382703006","2017-07-23","0000-00-00",NULL,,NULL,"0","C","2017.0","7.0",NULL
"382724893","2014-12-01","0000-00-00",NULL,,NULL,"0","C","2014.0","12.0",NULL
"382771670","2017-04-13","0000-00-00",NULL,,NULL,"0","H","2017.0","4.0",NULL
"382777249","2015-04-10","0000-00-00",NULL,,NULL,"0","M","2015.0","4.0",NULL
"382828319","2016-09-04","0000-00-00",NULL,,NULL,"0","H","2016.0","9.0",NULL
"382880246","2014-11-10","0000-00-00",NULL,,NULL,"0","L","2014.0","11.0",NULL
"382897412","2011-01-02","0000-00-00",NULL,,NULL,"0","M","2011.0","1.0",NULL
"382899129","2012-02-18","0000-00-00",NULL,,NULL,"0","L","2012.0","2.0",NULL
"382900416","2011-02-01","0000-00-00",NULL,,NULL,"0","M","2011.0","2.0",NULL
